"","Date","Page.Loads","Unique.Visits","First.Time.Visits","Returning.Visits"
"1","9/14/2014","2,146","1,582","1,430","152"
"2","9/15/2014","3,621","2,528","2,297","231"
"3","9/16/2014","3,698","2,630","2,352","278"
"4","9/17/2014","3,667","2,614","2,327","287"
"5","9/18/2014","3,316","2,366","2,130","236"
"6","9/19/2014","2,815","1,863","1,622","241"
"7","9/20/2014","1,658","1,118","985","133"
"8","9/21/2014","2,288","1,656","1,481","175"
"9","9/22/2014","3,638","2,586","2,312","274"
"10","9/23/2014","4,462","3,257","2,989","268"
"11","9/24/2014","4,414","3,175","2,891","284"
"12","9/25/2014","4,315","3,029","2,743","286"
"13","9/26/2014","3,323","2,249","2,033","216"
"14","9/27/2014","1,656","1,180","1,040","140"
"15","9/28/2014","2,465","1,806","1,613","193"
"16","9/29/2014","4,096","2,873","2,577","296"
"17","9/30/2014","4,474","3,032","2,720","312"
"18","10/1/2014","4,124","2,849","2,541","308"
"19","10/2/2014","3,514","2,489","2,239","250"
"20","10/3/2014","3,005","2,097","1,856","241"
"21","10/4/2014","2,054","1,436","1,274","162"
"22","10/5/2014","2,847","1,913","1,713","200"
"23","10/6/2014","4,501","3,181","2,853","328"
"24","10/7/2014","4,603","3,163","2,804","359"
"25","10/8/2014","4,187","3,014","2,663","351"
"26","10/9/2014","4,343","2,864","2,545","319"
"27","10/10/2014","3,565","2,382","2,100","282"
"28","10/11/2014","2,080","1,457","1,280","177"
"29","10/12/2014","3,031","2,089","1,856","233"
"30","10/13/2014","4,814","3,339","2,973","366"
"31","10/14/2014","5,040","3,604","3,217","387"
"32","10/15/2014","5,028","3,515","3,094","421"
"33","10/16/2014","4,658","3,331","2,955","376"
"34","10/17/2014","3,624","2,477","2,148","329"
"35","10/18/2014","2,285","1,619","1,416","203"
"36","10/19/2014","3,454","2,346","2,060","286"
"37","10/20/2014","5,307","3,717","3,308","409"
"38","10/21/2014","5,135","3,701","3,280","421"
"39","10/22/2014","5,084","3,611","3,177","434"
"40","10/23/2014","4,650","3,316","2,940","376"
"41","10/24/2014","3,571","2,498","2,170","328"
"42","10/25/2014","2,354","1,661","1,417","244"
"43","10/26/2014","3,497","2,508","2,218","290"
"44","10/27/2014","5,294","3,737","3,286","451"
"45","10/28/2014","4,643","3,328","2,905","423"
"46","10/29/2014","4,596","3,279","2,863","416"
"47","10/30/2014","4,162","3,041","2,657","384"
"48","10/31/2014","2,933","2,007","1,728","279"
"49","11/1/2014","2,202","1,496","1,270","226"
"50","11/2/2014","3,083","2,204","1,940","264"
"51","11/3/2014","4,376","3,057","2,629","428"
"52","11/4/2014","4,704","3,141","2,739","402"
"53","11/5/2014","4,306","3,200","2,797","403"
"54","11/6/2014","4,178","3,034","2,627","407"
"55","11/7/2014","3,236","2,318","1,975","343"
"56","11/8/2014","2,010","1,536","1,345","191"
"57","11/9/2014","2,901","2,141","1,849","292"
"58","11/10/2014","4,754","3,325","2,885","440"
"59","11/11/2014","4,417","3,203","2,793","410"
"60","11/12/2014","4,535","3,351","2,897","454"
"61","11/13/2014","4,274","3,194","2,758","436"
"62","11/14/2014","3,382","2,423","2,061","362"
"63","11/15/2014","2,085","1,488","1,280","208"
"64","11/16/2014","3,083","2,215","1,926","289"
"65","11/17/2014","4,860","3,559","3,069","490"
"66","11/18/2014","4,893","3,570","3,133","437"
"67","11/19/2014","4,866","3,544","3,056","488"
"68","11/20/2014","4,584","3,357","2,899","458"
"69","11/21/2014","3,914","2,750","2,361","389"
"70","11/22/2014","2,431","1,716","1,463","253"
"71","11/23/2014","3,157","2,369","2,082","287"
"72","11/24/2014","5,045","3,615","3,146","469"
"73","11/25/2014","4,746","3,236","2,821","415"
"74","11/26/2014","4,314","2,919","2,513","406"
"75","11/27/2014","3,663","2,476","2,162","314"
"76","11/28/2014","3,270","2,268","1,931","337"
"77","11/29/2014","2,905","1,976","1,695","281"
"78","11/30/2014","4,016","2,832","2,489","343"
