전공교육,교양교육,강의실환경,편의시설,행정서비스,홍보지역사회협력,이미지,전반적만족도
46.7,30.0,25.0,43.3,16.7,30.0,16.7,16.7
83.3,83.3,16.7,26.7,16.7,26.7,16.7,10.0
33.3,70.0,25.0,30.0,20.0,16.7,10.0,26.7
93.3,76.7,41.7,46.7,70.0,20.0,43.3,43.3
100.0,50.0,29.2,50.0,40.0,23.3,20.0,26.7
63.3,26.7,33.3,46.7,50.0,6.7,10.0,3.3
53.3,30.0,12.5,33.3,13.3,13.3,10.0,20.0
86.7,56.7,25.0,43.3,63.3,3.3,0.0,13.3
53.3,50.0,29.2,26.7,50.0,30.0,46.7,50.0
80.0,40.0,58.3,53.3,53.3,46.7,76.7,63.3
53.3,46.7,54.2,46.7,53.3,40.0,43.3,33.3
56.7,50.0,66.7,60.0,50.0,56.7,66.7,56.7
50.0,23.3,20.8,50.0,6.7,10.0,16.7,13.3
30.0,30.0,33.3,63.3,70.0,33.3,6.7,0.0
83.3,80.0,75.0,76.7,60.0,60.0,30.0,40.0
53.3,63.3,91.7,66.7,80.0,30.0,6.7,0.0
50.0,50.0,41.7,46.7,50.0,50.0,53.3,53.3
63.3,43.3,50.0,43.3,50.0,36.7,43.3,53.3
76.7,66.7,70.8,70.0,66.7,50.0,56.7,50.0
100.0,46.7,37.5,86.7,50.0,16.7,0.0,0.0
80.0,36.7,8.3,36.7,26.7,0.0,20.0,10.0
80.0,50.0,100.0,83.3,100.0,46.7,33.3,50.0
96.7,83.3,91.7,93.3,100.0,93.3,96.7,93.3
63.3,43.3,41.7,50.0,63.3,23.3,60.0,63.3
83.3,83.3,37.5,46.7,66.7,56.7,33.3,30.0
100.0,100.0,83.3,66.7,100.0,86.7,90.0,86.7
66.7,66.7,45.8,60.0,46.7,43.3,50.0,53.3
60.0,50.0,58.3,43.3,60.0,23.3,13.3,36.7
66.7,70.0,62.5,50.0,70.0,76.7,50.0,56.7
63.3,33.3,16.7,16.7,50.0,26.7,23.3,23.3
43.3,36.7,8.3,13.3,83.3,3.3,30.0,3.3
83.3,83.3,66.7,33.3,66.7,80.0,76.7,80.0
53.3,40.0,58.3,20.0,33.3,53.3,40.0,36.7
63.3,36.7,20.8,16.7,33.3,23.3,3.3,3.3
66.7,66.7,66.7,66.7,66.7,66.7,66.7,66.7
73.3,40.0,54.2,20.0,53.3,26.7,23.3,40.0
83.3,50.0,45.8,36.7,63.3,43.3,70.0,63.3
50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
66.7,40.0,41.7,33.3,60.0,26.7,30.0,30.0
60.0,53.3,50.0,26.7,23.3,36.7,26.7,13.3
46.7,16.7,25.0,23.3,26.7,3.3,0.0,0.0
50.0,46.7,62.5,50.0,46.7,43.3,40.0,56.7
53.3,30.0,45.8,46.7,33.3,6.7,3.3,3.3
53.3,53.3,41.7,53.3,36.7,13.3,13.3,30.0
36.7,36.7,33.3,40.0,40.0,33.3,33.3,16.7
56.7,43.3,45.8,36.7,33.3,50.0,50.0,50.0
50.0,56.7,58.3,63.3,66.7,36.7,50.0,23.3
66.7,56.7,50.0,40.0,26.7,40.0,33.3,33.3
50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
50.0,53.3,50.0,43.3,46.7,46.7,56.7,46.7
63.3,63.3,50.0,50.0,63.3,60.0,60.0,60.0
70.0,83.3,79.2,73.3,76.7,10.0,26.7,10.0
80.0,20.0,29.2,16.7,50.0,26.7,26.7,30.0
100.0,66.7,75.0,73.3,73.3,46.7,90.0,90.0
86.7,16.7,4.2,20.0,36.7,43.3,46.7,30.0
66.7,43.3,50.0,66.7,73.3,60.0,46.7,50.0
50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
66.7,66.7,70.8,53.3,56.7,50.0,46.7,46.7
73.3,83.3,70.8,73.3,80.0,76.7,66.7,56.7
100.0,100.0,83.3,83.3,53.3,33.3,20.0,10.0
60.0,26.7,37.5,53.3,6.7,16.7,16.7,13.3
53.3,56.7,25.0,36.7,50.0,40.0,13.3,10.0
56.7,53.3,29.2,43.3,60.0,36.7,30.0,30.0
100.0,40.0,91.7,43.3,66.7,50.0,56.7,53.3
86.7,83.3,75.0,83.3,93.3,90.0,83.3,93.3
76.7,73.3,79.2,90.0,93.3,83.3,86.7,90.0
43.3,26.7,12.5,33.3,36.7,13.3,0.0,16.7
66.7,66.7,58.3,53.3,56.7,50.0,53.3,56.7
30.0,36.7,16.7,0.0,0.0,33.3,36.7,33.3
83.3,86.7,66.7,76.7,63.3,36.7,36.7,23.3
53.3,50.0,50.0,50.0,50.0,50.0,50.0,50.0
66.7,60.0,50.0,53.3,70.0,73.3,63.3,63.3
66.7,66.7,66.7,66.7,63.3,10.0,0.0,0.0
86.7,43.3,0.0,16.7,0.0,23.3,46.7,30.0
26.7,26.7,20.8,46.7,26.7,16.7,23.3,0.0
50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
50.0,43.3,37.5,33.3,50.0,40.0,30.0,43.3
23.3,3.3,20.8,20.0,13.3,6.7,13.3,0.0
100.0,100.0,87.5,100.0,100.0,100.0,46.7,63.3
66.7,50.0,66.7,63.3,50.0,50.0,43.3,50.0
50.0,46.7,66.7,60.0,63.3,23.3,53.3,10.0
50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
43.3,26.7,12.5,60.0,86.7,6.7,0.0,10.0
73.3,83.3,83.3,83.3,83.3,83.3,83.3,53.3
90.0,76.7,37.5,40.0,50.0,50.0,50.0,50.0
50.0,40.0,25.0,26.7,13.3,33.3,0.0,6.7
80.0,26.7,87.5,50.0,16.7,56.7,20.0,23.3
13.3,16.7,12.5,50.0,6.7,16.7,6.7,6.7
50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
100.0,100.0,20.8,33.3,30.0,26.7,50.0,46.7
63.3,33.3,25.0,50.0,33.3,23.3,33.3,23.3
100.0,100.0,100.0,60.0,50.0,23.3,30.0,43.3
63.3,50.0,37.5,36.7,50.0,50.0,40.0,23.3
76.7,70.0,45.8,26.7,53.3,33.3,33.3,40.0
73.3,53.3,41.7,46.7,6.7,40.0,50.0,43.3
90.0,83.3,83.3,76.7,70.0,73.3,53.3,43.3
50.0,50.0,50.0,50.0,63.3,13.3,13.3,23.3
56.7,43.3,41.7,46.7,53.3,36.7,40.0,43.3
100.0,93.3,100.0,100.0,56.7,73.3,83.3,90.0
50.0,50.0,50.0,50.0,50.0,50.0,33.3,46.7
