"","age","workclass","fnlwgt","education","education.num","marital.status","occupation","relationship","race","sex","capital.gain","capital.loss","hours.per.week","native.country","incm.2.t.pred","test3[, 15]"
"2",57," Private",548256," 12th",8," Married-civ-spouse"," Transport-moving"," Husband"," Black"," Male",7688,0,40," United-States"," >50K"," >50K"
"3",48," Private",254809," 10th",6," Divorced"," Machine-op-inspct"," Unmarried"," White"," Female",0,1594,32," United-States"," <=50K"," <=50K"
"4",46," Private",149949," Some-college",10," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,40," United-States"," <=50K"," <=50K"
"5",39," Private",129597," Bachelors",13," Married-civ-spouse"," Sales"," Husband"," White"," Male",3464,0,40," United-States"," <=50K"," <=50K"
"6",30," Private",425528," HS-grad",9," Never-married"," Protective-serv"," Own-child"," White"," Male",0,0,70," United-States"," <=50K"," <=50K"
"7",36," Private",160192," HS-grad",9," Never-married"," Other-service"," Not-in-family"," White"," Male",0,0,40," United-States"," <=50K"," <=50K"
"8",43," Private",184099," Assoc-acdm",12," Married-civ-spouse"," Transport-moving"," Husband"," White"," Male",0,0,40," United-States"," <=50K"," <=50K"
"9",57," Private",173580," Some-college",10," Widowed"," Machine-op-inspct"," Unmarried"," White"," Female",0,0,40," United-States"," <=50K"," <=50K"
"10",42," Local-gov",185129," Doctorate",16," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,43," ?"," >50K"," >50K"
"11",52," Private",273514," HS-grad",9," Separated"," Craft-repair"," Not-in-family"," White"," Male",0,0,40," United-States"," <=50K"," <=50K"
"12",18," ?",191117," 11th",7," Never-married"," ?"," Own-child"," White"," Male",0,0,25," United-States"," <=50K"," <=50K"
"13",35," ?",317780," Some-college",10," Never-married"," ?"," Unmarried"," Black"," Female",0,0,40," United-States"," <=50K"," <=50K"
"14",46," Private",33842," Some-college",10," Married-civ-spouse"," Transport-moving"," Husband"," White"," Male",3103,0,40," United-States"," <=50K"," >50K"
"15",21," Private",126314," Some-college",10," Never-married"," Other-service"," Own-child"," White"," Male",0,0,10," United-States"," <=50K"," <=50K"
"16",40," Private",155767," HS-grad",9," Separated"," Machine-op-inspct"," Unmarried"," White"," Male",0,0,40," United-States"," <=50K"," <=50K"
"17",48," Local-gov",242923," HS-grad",9," Married-civ-spouse"," Tech-support"," Wife"," White"," Female",0,1848,40," United-States"," >50K"," >50K"
"18",55," Private",145214," HS-grad",9," Divorced"," Adm-clerical"," Not-in-family"," White"," Female",0,0,40," United-States"," <=50K"," <=50K"
"19",21," Private",143062," HS-grad",9," Never-married"," Machine-op-inspct"," Own-child"," White"," Male",0,0,40," United-States"," <=50K"," <=50K"
"20",30," Private",156464," Masters",14," Never-married"," Prof-specialty"," Not-in-family"," White"," Male",0,0,45," United-States"," <=50K"," >50K"
"21",21," Private",293968," Some-college",10," Married-spouse-absent"," Sales"," Own-child"," Black"," Female",0,0,20," United-States"," <=50K"," <=50K"
"22",24," Self-emp-not-inc",191954," 7th-8th",4," Never-married"," Farming-fishing"," Own-child"," White"," Male",0,0,50," United-States"," <=50K"," <=50K"
"23",51," Private",386773," Bachelors",13," Never-married"," Sales"," Not-in-family"," White"," Male",0,0,55," United-States"," >50K"," >50K"
"24",25," Private",19214," HS-grad",9," Never-married"," Handlers-cleaners"," Not-in-family"," White"," Male",0,0,40," United-States"," <=50K"," <=50K"
"25",78," Self-emp-not-inc",59583," 7th-8th",4," Married-civ-spouse"," Farming-fishing"," Husband"," White"," Male",0,0,25," United-States"," <=50K"," <=50K"
"26",45," Private",358886," 12th",8," Married-civ-spouse"," Adm-clerical"," Husband"," White"," Male",2407,0,50," United-States"," <=50K"," <=50K"
"27",25," Private",120238," HS-grad",9," Married-civ-spouse"," Sales"," Husband"," White"," Male",0,0,40," United-States"," <=50K"," <=50K"
"28",44," Private",45093," HS-grad",9," Married-civ-spouse"," Farming-fishing"," Husband"," White"," Male",0,0,70," United-States"," <=50K"," <=50K"
"29",34," Self-emp-not-inc",114185," Bachelors",13," Divorced"," Transport-moving"," Not-in-family"," White"," Male",0,0,50," ?"," <=50K"," <=50K"
"30",29," Private",192283," Some-college",10," Never-married"," Other-service"," Other-relative"," White"," Female",0,0,20," United-States"," <=50K"," <=50K"
"31",74," Private",97167," HS-grad",9," Married-civ-spouse"," Other-service"," Husband"," White"," Male",0,0,15," United-States"," <=50K"," <=50K"
"32",48," Self-emp-inc",192945," HS-grad",9," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",7688,0,40," United-States"," >50K"," >50K"
"33",48," Private",189462," Some-college",10," Divorced"," Handlers-cleaners"," Own-child"," White"," Male",2176,0,40," United-States"," <=50K"," <=50K"
"34",47," Self-emp-not-inc",39986," Bachelors",13," Married-civ-spouse"," Sales"," Husband"," White"," Male",0,0,40," United-States"," >50K"," <=50K"
"35",34," Private",112115," Prof-school",15," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,1977,55," United-States"," >50K"," >50K"
"36",64," ?",34100," Some-college",10," Widowed"," ?"," Not-in-family"," White"," Male",0,0,4," United-States"," <=50K"," <=50K"
